title,label,n_char,n_words,avg_word_length,n_cap_words,n_num
You Can Smell Hillary’s Fear,FAKE,28,5,4.8,5,0
Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),FAKE,85,14,5.142857142857143,13,0
Kerry to go to Paris in gesture of sympathy,REAL,43,9,3.888888888888889,2,0
Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',FAKE,84,15,4.666666666666667,3,0
The Battle of New York: Why This Primary Matters,REAL,48,9,4.444444444444445,8,0
"Tehran, USA",FAKE,11,2,5.0,2,0
Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,FAKE,73,13,4.6923076923076925,13,0
‘Britain’s Schindler’ Dies at 106,REAL,33,5,5.8,2,1
Fact check: Trump and Clinton at the 'commander-in-chief' forum,REAL,63,9,6.111111111111111,3,0
Iran reportedly makes new push for uranium concessions in nuclear talks,REAL,71,11,5.545454545454546,1,0
"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",REAL,97,17,4.764705882352941,5,0
Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,REAL,67,10,5.8,10,0
"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",FAKE,66,11,5.090909090909091,9,0
10 Ways America Is Preparing for World War 3,FAKE,44,9,4.0,6,2
"Trump takes on Cruz, but lightly",REAL,32,6,4.5,2,0
How women lead differently,REAL,26,4,5.75,1,0
Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,FAKE,72,10,6.3,9,0
Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,FAKE,113,18,5.333333333333333,14,0
What's in that Iran bill that Obama doesn't like?,REAL,49,9,4.555555555555555,3,0
The 1 chart that explains everything you need to know about partisanship in America,REAL,83,14,5.0,2,1
The slippery slope to Trump’s proposed ban on Muslims,REAL,53,9,5.0,3,0
Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,FAKE,80,14,4.785714285714286,6,0
Hillary Clinton Makes A Bipartisan Appeal on Staten Island,REAL,58,9,5.555555555555555,8,0
New Senate majority leader’s main goal for GOP: Don’t be scary,REAL,62,11,4.7272727272727275,4,0
‘Inferno’ and the Overpopulation Myth,FAKE,37,5,6.6,2,0
Anti-Trump forces seek last-ditch delegate revolt,REAL,49,6,7.333333333333333,1,0
Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,REAL,68,13,4.3076923076923075,10,0
Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist,REAL,69,12,4.833333333333333,11,0
Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible),REAL,119,17,6.0588235294117645,3,0
"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",FAKE,98,16,5.1875,12,0
GOP insiders: Carly crushed it,REAL,30,5,5.2,2,0
Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],FAKE,85,13,5.615384615384615,5,0
Why It’s Necessary To Relax Into A Stretch,FAKE,42,8,4.375,8,0
"Brexit Encourages UK to Trade With Non-EU States, Including Russia",FAKE,66,10,5.7,9,0
"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",FAKE,133,26,4.153846153846154,5,1
Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,FAKE,100,17,4.9411764705882355,15,0
First Ever Hindu Woman Elected into Congress,FAKE,44,7,5.428571428571429,6,0
Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,FAKE,64,11,4.909090909090909,8,0
Ex-Assistant FBI Director: Clintons Are a Crime Family,FAKE,54,8,5.875,7,0
Hillary Wants Aggressively Interventionist Foreign Policy,FAKE,57,6,8.666666666666666,6,0
